"State","Unit Number","Donor Weight"
"State_12",13,0.388
"State_06",7,0.187
"State_07",8,0.136
"State_09",10,0.118
"State_22",23,0.093
"State_33",34,0.056
"State_28",29,0.005
"State_31",32,0.002
